name,z,mu,du
2001iw,0.3396,41.0839733838,0.226527941211
2001iv,0.3965,41.4879207897,0.202374999057
2001hy,0.812,43.6535732762,0.379016341937
2001hx,0.799,43.3788294006,0.233174228134
2001hu,0.882,43.3750389271,0.583987119465
2001hs,0.833,43.6880978478,0.520913245917
2001fs,0.874,43.295379241,0.388089303157
2001fo,0.772,43.5099938279,0.218834770025
1999dr,0.178,39.454790821,0.235746048095
1999du,0.26,40.8233657709,0.199851735971
1999dv,0.186,39.7121679254,0.189043139487
1999dx,0.269,40.7761617315,0.25640063853
1999dy,0.215,40.3780576732,0.193933997767
2000fr,0.543,42.4788058506,0.0981414342081
1998bi,0.75,43.242998687,0.138318457637
1998be,0.64,42.7642472749,0.18880937743
1998ba,0.43,42.1841242053,0.148171058429
1998ay,0.64,43.1643806938,0.193749016644
1998ax,0.497,42.3245530903,0.167980194286
1998aw,0.44,42.0106475331,0.107484807666
1998as,0.355,41.3423115755,0.20146843402
1997ez,0.78,43.6008071703,0.171318833305
1997eq,0.54,42.4246212672,0.111551880919
1997ek,0.86,43.9216606703,0.172411965167
03D4au,0.468,42.5489037371,0.1639147706
04D4bk,0.84,43.8731031943,0.222348502282
04D3nr,0.96,43.6132116082,0.275514631381
04D3lu,0.8218,43.8153639621,0.21320698395
04D3ki,0.93,43.5524295782,0.289918379066
04D3gt,0.451,41.7966744145,0.143055821894
04D3do,0.61,42.904965712,0.156248253322
04D3cp,0.83,44.0506599335,0.208835355956
04D2gp,0.707,43.2824256201,0.256253916455
04D2fp,0.415,41.8767704643,0.141093702805
04D1ag,0.557,42.5570112027,0.157456031152
03D4fd,0.791,43.5768811197,0.201343679161
03D4cz,0.695,43.2117042607,0.20544919439
03D4at,0.633,43.0498635302,0.169957137727
03D3bh,0.2486,40.6111853429,0.154515955385
03D3af,0.532,42.5658156596,0.166651053217
03D1fc,0.331,41.0784700501,0.137704766569
03D1bp,0.346,41.3646268615,0.15221324645
04D4dw,0.961,44.2642016168,0.340056560686
04D4an,0.613,42.9937246636,0.165096720419
04D3nh,0.3402,41.3280915278,0.135546197344
04D3lp,0.983,44.1572843671,0.43499764107
04D3is,0.71,43.0220388098,0.184280954678
04D3fq,0.73,43.27699552,0.194894052413
04D3df,0.47,42.1345594858,0.15323960172
04D3co,0.62,43.0092526047,0.169564685824
04D2gc,0.521,42.1801294521,0.160996803083
04D2cf,0.369,41.6340230154,0.152644121885
03D4gl,0.571,42.3991620661,0.174223963618
03D4dy,0.604,42.526976481,0.15968704969
03D4cy,0.9271,43.9404978712,0.286707554506
03D4ag,0.285,40.8542434728,0.136594130276
03D3ba,0.2912,40.8390642775,0.146624503178
03D1gt,0.548,42.2962985563,0.18837089341
03D1ew,0.868,43.4932874061,0.24609516526
03D1ax,0.496,42.2146760288,0.152814539841
04D4dm,0.811,43.4045360216,0.210619526441
04D3oe,0.756,43.8139921904,0.192775955331
04D3nc,0.817,43.6515637361,0.210286863572
04D3ks,0.752,43.3018298804,0.207071436502
04D3hn,0.5516,42.3031837333,0.149254872779
04D3fk,0.3578,41.4349095934,0.136096151868
